ITEM RARITY AUDIT REPORT
Generated: 2026-02-06T07:41:13.558Z
Total Items: 717
Non-Crafted Items: 323 (34 with changes)
Crafted Items: 394 (346 with changes)

================================================================================
NON-CRAFTED ITEMS - WITH CHANGES
================================================================================

Ancient Flower - 7 | 9 ↑
Blue Bird Feather - 5 | 7 ↑
Bokoblin Fang - 3 | 4 ↑
Bokoblin Horn - 3 | 4 ↑
Brightbloom Seed - 8 | 7 ↓
Chillfin Trout - 5 | 7 ↑
Cold Darner - 3 | 4 ↑
Cool Safflina - 4 | 6 ↑
Electric Safflina - 4 | 6 ↑
Emerald - 5 | 4 ↓
Endura Shroom - 4 | 6 ↑
Gerudo Dragonfly - 4 | 6 ↑
Hearty Salmon - 5 | 7 ↑
Hearty Truffle - 4 | 6 ↑
Hylian Rice - 4 | 6 ↑
Keese Eyeball - 3 | 4 ↑
Lava Drop - 5 | 4 ↓
Monster Claw - 3 | 4 ↑
Muddle Bud - 3 | 4 ↑
Octo Balloon - 3 | 4 ↑
Octorok Eyeball - 3 | 4 ↑
Octorok Tentacle - 3 | 4 ↑
Rushroom - 4 | 6 ↑
Sand Cicada - 4 | 6 ↑
Sandy Ribbon - 7 | 9 ↑
Sky Stag Beetle - 4 | 6 ↑
Skyloft Mantis - 3 | 5 ↑
Stamella Shroom - 4 | 6 ↑
Swift Violet - 4 | 6 ↑
Tabantha Wheat - 4 | 6 ↑
Topaz - 5 | 4 ↓
Warm Safflina - 4 | 6 ↑
Wild berry - 4 | 6 ↑
Winterwing Butterfly - 4 | 6 ↑


================================================================================
NON-CRAFTED ITEMS - NO CHANGES
================================================================================

Acorn - 1 | 1
Amber - 3 | 3
Amber Relic - 4 | 4
Amethyst - 3 | 3
Ancient Arowana - 4 | 4
Ancient Arrow - 5 | 5
Ancient Battle Axe - 6 | 6
Ancient Bladesaw - 9 | 9
Ancient Bow - 10 | 10
Ancient Core - 3 | 3
Ancient Gear - 2 | 2
Ancient Screw - 1 | 1
Ancient Shaft - 2 | 2
Ancient Shield - 10 | 10
Ancient Short Sword - 10 | 10
Ancient Spear - 10 | 10
Ancient Spring - 2 | 2
Apple - 2 | 2
Armoranth - 2 | 2
Armored Carp - 3 | 3
Armored Porgy - 3 | 3
Arrow - 4 | 4
Aurora Stone - 10 | 10
Bird Egg - 2 | 2
Bird Feather - 2 | 2
Bladed Rhino Beetle - 2 | 2
Blessed Butterfly - 4 | 4
Blight Geodes - 6 | 6
Blin Bling - 6 | 6
Blizzard Rod - 7 | 7
Blue Nightshade - 2 | 2
Blueprint Voucher - 4 | 4
Boko Bat - 5 | 5
Boko Bow - 5 | 5
Boko Club - 5 | 5
Boko Shield - 5 | 5
Boko Spear - 5 | 5
Bokoblin Arm - 5 | 5
Bokoblin Guts - 4 | 4
Bright-Eyed Crab - 2 | 2
Brightcap - 4 | 4
Cane Sugar - 2 | 2
Carmine Pearl - 6 | 6
Carrumpkin - 8 | 8
Character Slot Voucher - 4 | 4
Chickaloo Tree Nut - 1 | 1
Chill Stone - 8 | 8
Chillshroom - 2 | 2
Chuchu Egg - 10 | 10
Chuchu Jelly - 2 | 2
Cotton - 3 | 3
Courser Bee Honey - 2 | 2
Crystal Skull - 6 | 6
Cucco Feathers - 5 | 5
Dazzlefruit - 4 | 4
Deep Firefly - 6 | 6
Deku Hornet - 2 | 2
Demon Carver - 8 | 8
Demon Fossil - 6 | 6
Diamond - 6 | 6
Dinraal's Claw - 10 | 10
Dinraal's Scale - 10 | 10
Dragon Bone Boko Bow - 6 | 6
Dragonbone Boko Bat - 6 | 6
Dragonbone Boko Club - 6 | 6
Dragonbone Boko Shield - 6 | 6
Dragonbone Boko Spear - 6 | 6
Dragonbone Moblin Club - 8 | 8
